year,P5,P25,P50_median,P75,P95
2021,12272343341.129042,15294097273.26549,16829080665.88121,18409683225.653282,20772477719.732983
2022,8949103118.806065,15708211577.366901,18266453777.029823,20899021309.857815,24703977719.25908
2023,7981079789.606742,16246898993.086554,19787162224.67224,23356899232.122536,28969863817.694515
2024,7578480323.202306,16612179495.775354,21365338592.786137,26043317669.04696,33625592088.10013
2025,7436539920.708649,17094566646.240667,22838123881.35018,28853918976.33265,38701491563.91256
