country,tourism_gdp_share_2019,champion_model,2025_P5,2025_median,2025_P95,risk_ratio_P5_over_median
Japan,0.961490017636433,"ARIMA(1,1,1)",2199068297.255751,16936549913.336967,39849268632.03036,0.12984157390426124
Mexico,1.9819704811440935,Holt-Winters,4799301409.8005295,14411107892.239742,20180767166.1715,0.3330279285734105
Thailand,11.833411425721586,Holt-Winters,3260245716.877101,22705327451.45491,38423685789.71429,0.14358946039636133
Croatia,19.48018707205744,Linear Trend,2399375961.0765553,7434383525.635633,14308346130.291119,0.3227404064913924
